,property_type,place_with_parent_names,region,lat-lon,area_m2, price_usd ,lat,lon,price_brl,state
2992,apartment,|Brasil|Ceará|Fortaleza|Cidade dos Funcionários|,Northeast,"-3.782297,-38.503387",68," $78,012.85 ",-30.019569,-51.149391,499749.67,Rio Grande do Sul
2993,house,|Brasil|Ceará|Fortaleza|Cidade dos Funcionários|,Northeast,,150," $93,303.37 ",-30.031979,-51.233303,302878.6,Rio Grande do Sul
2994,house,|Brasil|Ceará|Fortaleza|Lagoa Redonda|,Northeast,"-3.823703,-38.472889",90," $93,615.42 ",-30.037449,-51.170689,454317.88,Rio Grande do Sul
2995,house,|Brasil|Ceará|Fortaleza|Lagoa Redonda|,Northeast,"-3.831467,-38.458706",100," $84,253.88 ",-30.022408,-51.182068,767292.45,Rio Grande do Sul
2996,house,|Brasil|Ceará|Fortaleza|Messejana|,Northeast,,110," $82,693.62 ",-30.031361,-51.15786,1043043.43,Rio Grande do Sul
2997,apartment,|Brasil|Ceará|Fortaleza|Messejana|,Northeast,,57," $81,133.37 ",-30.019714,-51.167526,1017872.62,Rio Grande do Sul
2998,house,|Brasil|Ceará|Fortaleza|Messejana|,Northeast,"-3.831972,-38.487621",163," $109,217.99 ",-30.026562,-51.190315,605757.2,Rio Grande do Sul
2999,house,|Brasil|Ceará|Fortaleza|Messejana|,Northeast,,127," $140,423.14 ",-30.051098,-51.216896,555277.43,Rio Grande do Sul
3000,apartment,|Brasil|Ceará|Fortaleza|Vicente Pinzon|,Northeast,"-3.730811,-38.477108",120," $81,133.37 ",-30.016413,-51.196453,1097940.43,Rio Grande do Sul
3001,house,|Brasil|Ceará|Fortaleza|Vila Velha|,Northeast,"-3.754921,-38.577728",184," $109,217.99 ",-30.036293,-51.164242,1362953.71,Rio Grande do Sul
3002,apartment,|Brasil|Ceará|Fortaleza|Cambeba|,Northeast,"-3.794777,-38.498131",65," $99,856.45 ",-30.081381,-51.205845,254522.54,Rio Grande do Sul
3003,apartment,|Brasil|Ceará|Fortaleza|Cambeba|,Northeast,"-3.794777,-38.498131",65," $93,615.42 ",-30.104361,-51.252487,1377416.18,Rio Grande do Sul
3004,house,|Brasil|Ceará|Fortaleza|Jardim das Oliveiras|,Northeast,"-3.7844087,-38.4982167",214," $109,217.99 ",-30.034859,-51.144165,898539.83,Rio Grande do Sul
3005,apartment,|Brasil|Ceará|Fortaleza|Joaquim Távora|,Northeast,"-3.738705,-38.518559",138," $93,615.42 ",-30.105619,-51.242771,403838.12,Rio Grande do Sul
3006,apartment,|Brasil|Ceará|Fortaleza|Joaquim Távora|,Northeast,"-3.746994,-38.507092",117," $99,856.45 ",-29.16244814,-51.5171101,555176.45,Rio Grande do Sul
3007,apartment,|Brasil|Ceará|Fortaleza|Papicu|,Northeast,,117," $124,820.57 ",-29.6927998,-53.7940991,648782.97,Rio Grande do Sul
3008,apartment,|Brasil|Ceará|Fortaleza|Papicu|,Northeast,"-3.73771,-38.475487",131," $109,217.99 ",-30.025932,-51.197933,1100458.91,Rio Grande do Sul
3009,apartment,|Brasil|Ceará|Fortaleza|Papicu|,Northeast,"-3.73771,-38.475487",90," $185,957.06 ",-30.053726,-51.201077,434125.98,Rio Grande do Sul
3010,apartment,|Brasil|Ceará|Fortaleza|Papicu|,Northeast,"-3.741229,-38.477791",70," $166,947.51 ",-29.7660792,-51.1477327,302878.6,Rio Grande do Sul
3011,apartment,|Brasil|Ceará|Aquiraz|Porto das Dunas|,Northeast,"-3.999737,-38.442928",112," $180,989.82 ",-30.0691595,-51.1565157,494701.71,Rio Grande do Sul
3012,apartment,|Brasil|Ceará|Aquiraz|Porto das Dunas|,Northeast,,104," $227,653.99 ",-29.3314525,-49.7247705,585565.3,Rio Grande do Sul
3013,apartment,|Brasil|Ceará|Caucaia|Cumbuco|,Northeast,"-3.630143,-38.742054",78," $177,245.21 ",-29.6953868,-53.8010751,394260.42,Rio Grande do Sul
3014,house,|Brasil|Ceará|Fortaleza|Parque Dois Irmãos|,Northeast,,150," $78,012.85 ",-29.6994594,-53.8078162,757196.48,Rio Grande do Sul
3015,house,|Brasil|Ceará|Fortaleza|Sapiranga|,Northeast,"-3.795882,-38.477108",200," $168,507.77 ",-30.021929,-51.191223,908635.8,Rio Grande do Sul
3016,house,|Brasil|Ceará|Caucaia|,Northeast,,98," $78,012.85 ",-29.70116249,-53.80479182,242302.87,Rio Grande do Sul
3017,house,|Brasil|Ceará|Caucaia|,Northeast,"-3.697101,-38.623878",143," $87,374.39 ",-30.2076445,-51.1448373,383646.22,Rio Grande do Sul
3018,house,|Brasil|Ceará|Fortaleza|Parque Araxá|,Northeast,"-3.734393,-38.54702",240," $246,520.62 ",-29.33242562,-49.71973268,484605.74,Rio Grande do Sul
3019,house,|Brasil|Ceará|Fortaleza|,Northeast,"-3.807876,-38.423199",220," $90,494.91 ",-30.156542,-51.221935,988146.4,Rio Grande do Sul
3020,apartment,|Brasil|Ceará|Fortaleza|,Northeast,"-3.722278,-38.465279",58," $124,820.57 ",-29.69750547,-53.80142934,406866.9,Rio Grande do Sul
3021,apartment,|Brasil|Ceará|Fortaleza|,Northeast,"-3.722278,-38.465279",178," $180,989.82 ",-29.380282,-50.876378,1277135.08,Rio Grande do Sul
3022,house,|Brasil|Ceará|Eusébio|,Northeast,"-3.884189,-38.463963",181," $190,351.36 ",-30.067726,-51.217381,368502.29,Rio Grande do Sul
3023,house,|Brasil|Ceará|Eusébio|,Northeast,"-3.884189,-38.463963",110," $99,856.45 ",-29.6825386,-53.804784,267542.73,Rio Grande do Sul
3024,house,|Brasil|Ceará|Eusébio|,Northeast,"-3.884189,-38.463963",132," $133,382.94 ",-29.904982,-51.182068,323070.49,Rio Grande do Sul
3025,house,|Brasil|Ceará|Eusébio|,Northeast,"-3.884189,-38.463963",163," $109,217.99 ",-30.060946,-51.166382,288458.89,Rio Grande do Sul
3026,apartment,|Brasil|Ceará|Aquiraz|,Northeast,,68," $171,628.28 ",-29.932737,-51.093224,277638.7,Rio Grande do Sul
3027,house,|Brasil|Ceará|Fortaleza|,Northeast,,128," $156,025.71 ",-29.69640288,-53.80361081,393742.15,Rio Grande do Sul
3028,house,|Brasil|Ceará|Guaramiranga|,Northeast,,120," $93,615.42 ",-30.056164,-51.191223,748595.73,Rio Grande do Sul
3029,house,|Brasil|Ceará|Trairi|,Northeast,"-3.307203,-39.362122",155," $202,833.42 ",-30.161753,-51.161156,568719.17,Rio Grande do Sul
3030,apartment,|Brasil|Ceará|Fortaleza|Castelão|,Northeast,"-3.794225,-38.50864",57," $89,246.70 ",-30.0776883,-51.2192769,484605.74,Rio Grande do Sul
3031,apartment,|Brasil|Ceará|Fortaleza|Castelão|,Northeast,"-3.794225,-38.50864",57," $89,246.70 ",-29.7053926,-53.7352695,251389.23,Rio Grande do Sul
3032,house,|Brasil|Ceará|Fortaleza|Álvaro Weyne|,Northeast,"-3.717417,-38.56171",192," $81,133.37 ",-30.005852,-51.1311,353358.36,Rio Grande do Sul
3033,house,|Brasil|Ceará|Fortaleza|Álvaro Weyne|,Northeast,"-3.7160513,-38.5642942",231," $140,423.14 ",-29.32773014,-49.72076265,696620.79,Rio Grande do Sul
3034,house,|Brasil|Ceará|Fortaleza|Álvaro Weyne|,Northeast,,140," $124,820.57 ",-30.04974,-51.193836,503788.07,Rio Grande do Sul
3035,apartment,|Brasil|Ceará|Fortaleza|Jacarecanga|,Northeast,"-3.7195719,-38.5440701",80," $116,085.62 ",-30.03548,-51.191505,648782.97,Rio Grande do Sul
3036,apartment,|Brasil|Ceará|Fortaleza|Jacarecanga|,Northeast,"-3.725391,-38.52309",69," $112,498.28 ",-30.034723,-51.232834,252398.8,Rio Grande do Sul
3037,apartment,|Brasil|Ceará|Fortaleza|Jacarecanga|,Northeast,"-3.7195719,-38.5440701",78," $114,138.42 ",-30.081381,-51.205845,340461.35,Rio Grande do Sul
3038,apartment,|Brasil|Ceará|Fortaleza|Jacarecanga|,Northeast,"-3.7195719,-38.5440701",78," $97,003.05 ",-30.117748,-51.250511,613848.5,Rio Grande do Sul
3039,apartment,|Brasil|Ceará|Fortaleza|Jacarecanga|,Northeast,"-3.7195719,-38.5440701",78," $114,138.42 ",-30.060946,-51.166382,323070.49,Rio Grande do Sul
3040,apartment,|Brasil|Ceará|Fortaleza|Jacarecanga|,Northeast,"-3.721626,-38.551071",124," $115,459.02 ",-30.098661,-51.245811,363959.09,Rio Grande do Sul
3041,apartment,|Brasil|Ceará|Fortaleza|Rodolfo Teófilo|,Northeast,"-3.746457,-38.556091",80," $109,217.99 ",-30.0402509,-51.2148942,355377.54,Rio Grande do Sul
3042,apartment,|Brasil|Ceará|Fortaleza|Aldeota|,Northeast,"-3.738561,-38.508968",158," $396,211.69 ",-30.1589829,-51.1813661,449157.45,Rio Grande do Sul
3043,house,|Brasil|Ceará|Fortaleza|José Bonifácio|,Northeast,"-3.7404249,-38.5281447",209," $156,025.71 ",-30.161753,-51.161156,648782.97,Rio Grande do Sul
3044,apartment,|Brasil|Ceará|Fortaleza|Meireles|,Northeast,"-3.741709,-38.511925",56," $156,025.71 ",-30.015261,-51.165073,896318.66,Rio Grande do Sul
3045,apartment,|Brasil|Ceará|Fortaleza|Meireles|,Northeast,"-3.741709,-38.511925",119," $137,302.62 ",-30.05497981,-51.22246742,1129770.72,Rio Grande do Sul
3046,house,|Brasil|Ceará|Fortaleza|,Northeast,,150," $140,423.14 ",-30.031057,-51.154961,1574968.72,Rio Grande do Sul
3047,house,|Brasil|Ceará|Fortaleza|Maraponga|,Northeast,"-3.8060994,-38.5632511",70," $405,666.85 ",-30.015261,-51.165073,1373049.65,Rio Grande do Sul
3048,house,|Brasil|Ceará|Fortaleza|Montese|,Northeast,"-3.7647347,-38.5456486",208," $215,315.48 ",-29.9948421,-51.1299642,519026.39,Rio Grande do Sul
3049,apartment,|Brasil|Ceará|Fortaleza|Meireles|,Northeast,"-3.733789,-38.498131",173," $296,448.85 ",-29.14515315,-51.52896088,378598.22,Rio Grande do Sul
3050,house,|Brasil|Ceará|Fortaleza|Montese|,Northeast,"-3.7659863,-38.543781",175," $118,579.54 ",-30.031038,-51.217381,678726.79,Rio Grande do Sul
3051,house,|Brasil|Ceará|Fortaleza|,Northeast,"-3.7337715,-38.573817",230," $343,256.56 ",-30.161716,-51.202991,454317.88,Rio Grande do Sul
3052,apartment,|Brasil|Ceará|Fortaleza|,Northeast,"-3.724844,-38.572979",55," $102,976.97 ",-29.981264,-51.185822,292782.63,Rio Grande do Sul
3053,apartment,|Brasil|Ceará|Fortaleza|,Northeast,"-3.724844,-38.572979",54," $99,544.40 ",-29.917282,-51.161156,737004.58,Rio Grande do Sul
3054,apartment,|Brasil|Ceará|Fortaleza|,Northeast,"-3.724844,-38.572979",73," $133,870.06 ",-30.021929,-51.191223,778539.59,Rio Grande do Sul
3055,apartment,|Brasil|Ceará|Fortaleza|,Northeast,"-3.724844,-38.572979",72," $133,870.06 ",-30.03764,-51.189133,449157.45,Rio Grande do Sul
3056,apartment,|Brasil|Ceará|Fortaleza|,Northeast,"-3.724844,-38.572979",94," $169,443.92 ",-30.1544445,-51.170021,424030.02,Rio Grande do Sul
3057,house,|Brasil|Ceará|Fortaleza|Barra do Ceará|,Northeast,"-3.7108355,-38.5765791",115," $84,253.88 ",-30.033369,-51.159775,948221.29,Rio Grande do Sul
3058,house,|Brasil|Ceará|Fortaleza|Barra do Ceará|,Northeast,"-3.7108355,-38.5765791",117," $84,253.88 ",-30.128674,-51.234386,848408.53,Rio Grande do Sul
3059,house,|Brasil|Ceará|Fortaleza|Barroso|,Northeast,"-3.822436,-38.513897",76," $79,573.11 ",-29.185087,-51.229252,389269.77,Rio Grande do Sul
3060,apartment,|Brasil|Ceará|Fortaleza|Damas|,Northeast,"-3.756041,-38.550083",63," $103,478.74 ",-30.046061,-51.225681,393742.15,Rio Grande do Sul
3061,apartment,|Brasil|Ceará|Fortaleza|Damas|,Northeast,,61," $104,507.89 ",-29.6810594,-53.8179978,257345.82,Rio Grande do Sul
3062,apartment,|Brasil|Ceará|Fortaleza|Damas|,Northeast,"-3.752324,-38.551979",80," $138,800.47 ",-29.7050721,-53.8160066,279657.88,Rio Grande do Sul
3063,house,|Brasil|Ceará|Fortaleza|Barra do Ceará|,Northeast,"-3.7088643,-38.5729717",82," $84,253.88 ",-29.695071,-53.810287,353358.36,Rio Grande do Sul
3064,apartment,|Brasil|Ceará|Fortaleza|Damas|,Northeast,"-3.756041,-38.550083",60," $92,120.07 ",-29.6839516,-53.7926416,659770.55,Rio Grande do Sul
3065,apartment,|Brasil|Ceará|Fortaleza|Benfica|,Northeast,"-3.744422,-38.539082",80," $170,424.70 ",-30.1589829,-51.1813661,302878.6,Rio Grande do Sul
